title,date,words,categories,flags,intent_hits,has_faq,has_table,has_cta,url
Form 10B used for rectify mistakes,2022-05-01,886,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/form-10b-how-to-rectify-mistakes-in-audit-report-form-10b/
Annual Compliances of LLP,2022-05-01,536,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA,"annual compliance, llp, partnership",False,False,False,https://legalsuvidha.com/annual-compliances-of-limited-liability-partnershipllp/
Deduction of Electric vehicle,2022-05-03,405,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/section-80eeb-deduction-in-respect-of-electric-vehicle/
Incoporation of Sec 8 Company,2022-05-03,955,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/incoporation-of-section-8-company/
GSTR-4,2022-05-04,822,GST,missing_AEO_GEO_structure; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/know-everything-about-gstr-4/
Registration of Trademark,2022-05-04,1059,Corporate Law,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA,trademark,False,False,False,https://legalsuvidha.com/registration-of-trademark-for-individuals/
Annual Information System,2022-05-06,1189,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/a-detailed-guide-on-annual-information-system-ais/
Form 3CA-3CD & 3CB-3CD,2022-05-06,593,Income Tax,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbdt-enables-e-filing-of-form-3ca-3cd-and-3cb-3cd-for-a-y-2022-23/
Hindu Undivided Family,2022-05-07,1092,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/hindu-undivided-family-huf-a-tax-saving-instrument/
National Pension Scheme,2022-05-07,642,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/national-pension-scheme-new-provision-for-payment-of-family-pension-if-employee-goes-missing/
GST TRAN-1 & TRAN-2,2022-05-08,1236,GST,above_1000_but_outdated; missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/bombay-high-court-allows-corrections-in-gst-tran-1-tran-2-manually/
NSIC Single Point Registration,2022-05-09,859,Start-up,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/nsic-single-point-registration/
Taxation on Virtual Digital Assets,2022-05-10,779,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/section-115bbh-taxation-on-virtual-digital-assets/
Angel Taxation under Income Tax,2022-05-11,1135,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/concept-of-angel-taxation-under-income-tax-act-1961/
Trademark,2022-05-19,995,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA,"roc, trademark",False,False,False,https://legalsuvidha.com/trademark-process-of-trademark-application/
EPF and ESI,2022-05-19,874,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/a-detailed-analysis-on-epf-and-esi/
JSON Scheme for Form ITR-7,2022-05-21,844,Income Tax,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbdt-notifies-json-scheme-for-form-itr-7/
Due Dates for filing LLP Forms,2022-05-23,484,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA,"due date, llp",False,False,False,https://legalsuvidha.com/due-dates-for-filing-llp-forms-for-the-f-y-2021-22/
Employee Stock Option Plan (ESOP),2022-05-23,958,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/know-everything-about-employee-stock-option-plan-esop/
Benefits of Startup India,2022-05-25,634,Start-up,broad_generic; missing_AEO_GEO_structure; weak_conversion_CTA,startup india,False,False,False,https://legalsuvidha.com/benefits-of-startup-india-registration/
Aadhar must link with PAN,2022-05-25,768,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA,"consequence, consequences",False,False,False,https://legalsuvidha.com/consequences-of-not-linking-aadhar-with-pan/
New Registration for Trust & Societies,2022-05-26,1472,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA,"roc, trust",False,False,False,https://legalsuvidha.com/renewal-or-new-registration-process-for-trust-societies/
Fees waived off for delay in GSTR-4,2022-05-28,364,GST,missing_AEO_GEO_structure; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/late-fees-waived-off-for-delay-in-filing-form-gstr-4/
Relaxation in fees for delay in Form 11,2022-05-28,486,Corporate Law,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA,llp,False,False,False,https://legalsuvidha.com/mca-provides-relaxation-in-additional-fees-for-delay-in-filing-form-11-by-llp-up-to-30th-june-2022/
Faceless penalty amendment scheme,2022-05-30,1348,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA,penalty,False,False,False,https://legalsuvidha.com/cbdt-notifies-faceless-penalty-amendment-scheme2022/
Presumptive Taxation Scheme,2022-05-31,1336,Income Tax,above_1000_but_outdated; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,True,False,False,https://legalsuvidha.com/know-everything-about-presumptive-taxation-scheme/
Annual Secretarial Compliance Report,2022-06-04,797,Other,missing_AEO_GEO_structure; weak_conversion_CTA,checklist,False,False,False,https://legalsuvidha.com/checklist-of-annual-secretarial-compliance-report-2022/
Form No 10AC,2022-06-05,443,Income Tax,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbdt-issues-clarification-regarding-form-n0-10ac/
MSME Registration,2022-06-06,1076,Corporate Law,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA,"documents, msme, roc",False,False,False,https://legalsuvidha.com/msme-registration-procedure-documents-required-certificate/
Rectification of mistakes,2022-06-11,1097,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/rectification-of-mistakes-under-section-154-of-income-tax-act-1961/
Exemption from advance tax,2022-06-11,950,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/senior-citizen-not-having-business-income-is-exempt-from-advance-tax/
Restrictions on Deposits & Advances,2022-06-13,954,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/restrictions-on-cash-loans-deposits-advances-under-income-tax/
High Value Transactions,2022-06-13,1344,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/section-285ba-high-value-transactions-mandatory-return-filing/
Striking off names of company,2022-06-14,891,Corporate Law,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/recent-changes-in-rule-of-striking-off-the-names-of-the-company/
IMMOVABLE PROPERTY,2022-06-15,884,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/section-194ia-payment-on-transfer-of-immovable-property/
ITC on Insurance expense,2022-06-15,998,GST,missing_AEO_GEO_structure; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/itc-on-insurance-expense-under-gst/
Form DPT-3,2022-06-16,452,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA,dpt-3,False,False,False,https://legalsuvidha.com/dpt-3-return-of-deposits-last-date-to-file-is-30-06-2022/
ITC can't avail on Same Invoice,2022-06-16,485,GST,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/gstn-advises-taxpayers-not-to-avail-itc-on-same-invoice-appearing-twice-in-gstr-2b/
Buy Back shares,2022-06-17,1347,Corporate Law,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/everything-about-buy-back-shares-as-per-companies-act-2013/
EPR Registration and Compliance,2022-06-17,639,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/all-about-epr-registration-and-compliance/
TDS Relaxtion u/s 194I,2022-06-17,799,Income Tax,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbdt-provides-relaxation-from-tds-u-s-194i-of-the-income-tax-act1961/
TDS under section 194R,2022-06-17,682,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbdt-issues-guidelines-on-tds-under-section-194r-of-it-act-1961/
AD Code Registration in exports,2022-06-18,946,Other,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbic-introduced-changes-in-system-w-r-t-ad-code-registration-in-exports/
GST Refunds guidelines,2022-06-21,619,GST,broad_generic; missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/cbdt-issues-new-guidelines-for-gst-refunds/
Due Diligence,2022-06-21,1033,Corporate Law,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA,roc,False,False,False,https://legalsuvidha.com/due-diligence-meaning-and-process/
GEM Registration,2022-06-22,1091,Corporate Law,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/gem-registration-meaning-and-benefits/
Guidelines under section 194S(6),2022-06-25,1871,Income Tax,above_1000_but_outdated; broad_generic; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbdt-issues-guidelines-under-section-194s6/
Non-Compliance with NFRA Rules,2022-06-25,552,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA,penalty,False,False,False,https://legalsuvidha.com/mca-notifies-penalty-for-non-compliance-with-nfra-rules/
TDS Under Section 194H,2022-06-30,1164,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/tds-under-section-194h-payment-on-commission-or-on-discount/
FSSAI registration for Amazon,2022-07-03,805,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA,fssai,False,False,False,https://legalsuvidha.com/fssai-registration-for-amazon-warehouses/
Strike off Notices,2022-07-03,1120,Corporate Law,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA,strike off,False,False,False,https://legalsuvidha.com/all-about-companys-strike-off-notices-stk-1-5/
Income Tax Advance Ruling,2022-07-03,750,Income Tax,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/advance-ruling-under-income-tax-meaning-and-provisions/
GST Council Meeting,2022-07-04,1057,GST,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/recommendations-of-gst-council-meeting/
Conversion of OPC into PLC,2022-07-04,798,Corporate Law,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA,opc,False,False,False,https://legalsuvidha.com/conversion-of-one-person-company-into-private-limited-company/
E-Invoice under GST,2022-07-04,426,GST,missing_AEO_GEO_structure; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/a-brief-summary-on-e-invoice-under-gst/
Latest GST Notification,2022-07-06,1034,GST,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/a-brief-summary-on-notifications-effecting-recommendations-of-47th-gst-council-meeting/
Changes in GSTR-3B,2022-07-09,649,GST,missing_AEO_GEO_structure; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/gstr-3b-changes-in-reporting-and-filing/
Form GSTR-7 Before 10th July,2022-07-09,958,GST,missing_AEO_GEO_structure; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/gstn-deductors-to-file-form-gstr-7-before-10th-july/
Taxation on Gratuity,2022-07-11,727,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/gratuity-taxation-and-legal-provisions/
Analysis of ITR-U Return,2022-07-17,765,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/analysis-of-itr-u-filing-and-its-importance/
Artificial Intelligence,2022-07-18,1147,Corporate Law,above_1000_but_outdated; missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/artificial-intelligence-meaning-and-its-importance/
Filing Income Tax Return,2022-07-26,576,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/importance-of-filing-income-tax-return/
Filling of Annual Return of Companies,2022-07-27,774,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA,"mgt-7, mgt-7a",False,False,False,https://legalsuvidha.com/mgt-7-mgt-7a-filling-of-annual-return-of-companies/
Equalisation Levy,2022-07-29,567,GST,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/equalisation-levy-recent-amendment-in-equalisation-levy/
Time Limit of ITR is reduced,2022-08-01,495,Income Tax,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbdt-time-limit-for-verifying-income-tax-return-is-reduced-to-30-days/
Certificate of Commencement of Business,2022-08-02,753,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/how-to-obtain-certificate-of-commencement-of-business/
CBIC reduces Limit for E-invoice,2022-08-02,680,GST,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbic-limit-for-e-invoice-is-reduced-from-1st-october-2022/
Filing of Non-Preferential Certificate of Origin,2022-08-03,545,Other,weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,True,False,False,https://legalsuvidha.com/dgft-extends-due-date-for-filing-of-non-preferential-certificate-of-origin/
Compliance Calendar,2022-08-08,635,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/compliance-calendar-for-the-month-of-august-2022/
UAE Corporate Tax,2022-08-10,1809,Income Tax,above_1000_but_outdated; not_aligned_to_founder_compliance_intent,,False,False,True,https://legalsuvidha.com/a-detailed-analysis-of-uae-corporate-tax/
Real Estate Regulatory Authority,2022-08-10,650,Corporate Law,missing_AEO_GEO_structure; weak_conversion_CTA,applicability,False,False,False,https://legalsuvidha.com/rera-applicability-of-rera-act/
Section 194R,2022-08-14,1064,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/section-194r-tds-on-benefits-or-perquisite/
Atal Pension Yojana,2022-08-14,593,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbdt-notifies-taxpayers-cannot-join-atal-pension-yojana-w-e-f-1st-october-2022/
Determination of Income of AOP,2022-08-15,1163,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/determination-of-income-of-association-of-person-aop-under-income-tax-act/
Books maintained by Charitable Institutions,2022-08-15,1453,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/cbdt-notifies-charitable-institution-to-maintain-books-of-accounts/
Section 115BAB,2022-08-18,1113,Income Tax,above_1000_but_outdated; missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA; not_aligned_to_founder_compliance_intent,,False,False,False,https://legalsuvidha.com/section-115bab-tax-on-income-of-certain-new-domestic-manufacturing-companies/
Recent Amendments of GTA,2022-08-18,842,GST,missing_AEO_GEO_structure; missing_comparison_checklist_penalty_framing; weak_conversion_CTA,gst,False,False,False,https://legalsuvidha.com/recent-amendments-of-goods-transport-agency-gta-under-gst/
Applicability of Clause 44,2022-08-22,565,Income Tax,missing_AEO_GEO_structure; weak_conversion_CTA,applicability,False,False,False,https://legalsuvidha.com/form-3cd-applicability-of-clause-44-for-disclosure-of-expenditures/
